CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[2.69113983e-03 2.46054920e+01 3.56079386e-01 2.12726959e+01
 6.90987673e-02 1.91778898e-02 1.74608560e+01 1.69283805e+00]","[2.69113983e-03 2.33096110e+01 2.15473066e-01 2.15960664e+01
 6.77384627e-02 1.91778898e-02 1.75260814e+01 1.66852851e+00]","[2.69113983e-03 2.45753274e+01 3.71075389e-01 2.12726959e+01
 7.13803999e-02 1.91778898e-02 1.77504583e+01 1.67731356e+00]","[2.69113983e-03 2.45753274e+01 3.71075389e-01 2.12726959e+01
 7.13803999e-02 1.91778898e-02 1.80795106e+01 1.67731356e+00]","[2.69113983e-03 2.44874891e+01 3.89895245e-01 2.12726959e+01
 6.70183681e-02 1.91778898e-02 1.75045218e+01 1.71481180e+00]","[0.0005925773309042516, 0.0005940466030626346, 0.0005981931548875051, 0.0006001832892452287, 0.0006034851350206973]",0.000597697102624
logcosh_loss,32,500,70,1,2,0.5,"[2.85502074e-03 2.69788023e+01 3.73056971e-01 2.20064991e+01
 5.89121307e-02 1.86383302e-02 8.66525325e+00 1.91500642e+00]","[2.85502074e-03 2.68666925e+01 5.60636319e-01 2.13397408e+01
 5.89121307e-02 1.86383302e-02 8.56173572e+00 1.86634103e+00]","[2.85502074e-03 2.59388825e+01 3.61605653e-01 2.17131552e+01
 5.89121307e-02 1.83364793e-02 1.26111805e+01 1.87635539e+00]","[2.85502074e-03 2.63888895e+01 5.51982358e-01 2.13397408e+01
 5.63231698e-02 1.83364793e-02 8.66525325e+00 1.89044050e+00]","[2.85502074e-03 2.73322471e+01 5.51982358e-01 2.13397408e+01
 5.63231698e-02 1.86383302e-02 6.99732582e+00 1.93350701e+00]","[0.0006228044124309267, 0.0006281562885691698, 0.0006282746762853481, 0.0006286333031135338, 0.0006297576495046368]",0.0006275252659807
logcosh_loss,32,500,70,1,2,0.5,"[2.96430616e-03 2.70865782e+01 1.51770209e-01 2.47569471e+01
 1.00683615e-01 1.90603438e-02 3.46277029e+01 1.94808101e+00]","[2.96430616e-03 2.59966841e+01 1.44844745e-01 2.35199197e+01
 1.13455476e-01 2.02368815e-02 3.29126882e+01 1.89256843e+00]","[2.96430616e-03 2.68137186e+01 1.30752206e-01 2.47729399e+01
 1.00683615e-01 1.90603438e-02 3.75063918e+01 2.03086172e+00]","[3.10201023e-03 2.68137186e+01 1.31671146e-01 2.44265763e+01
 1.05119050e-01 1.90603438e-02 3.77521265e+01 2.09545862e+00]","[2.96430616e-03 2.70865782e+01 1.36161466e-01 2.48590749e+01
 1.00683615e-01 1.90603438e-02 3.46277029e+01 2.02391664e+00]","[0.0006438065561919536, 0.0006469652052146068, 0.0006509329457794947, 0.0006517274038686633, 0.0006548509938659474]",0.0006496566209841
logcosh_loss,32,500,70,1,2,0.5,"[2.91916351e-03 3.12132523e+01 1.90887259e-01 2.63388460e+01
 7.73384894e-02 1.89225987e-02 1.74207540e+01 2.08958602e+00]","[2.91916351e-03 3.08321736e+01 2.05207304e-01 2.66924894e+01
 7.73384894e-02 1.96354033e-02 1.71406268e+01 2.08001942e+00]","[2.91916351e-03 3.15793339e+01 1.94096241e-01 2.65150720e+01
 7.73384894e-02 1.89225987e-02 1.93217439e+01 2.10711694e+00]","[2.91916351e-03 3.01993536e+01 1.71355463e-01 2.62167443e+01
 8.27469174e-02 1.84668054e-02 2.25182281e+01 2.05729366e+00]","[2.91916351e-03 3.11967054e+01 1.90887259e-01 2.70920881e+01
 7.73384894e-02 1.96354033e-02 1.78816455e+01 2.08958602e+00]","[0.0006651387059014436, 0.0006736560216110021, 0.0006769998076412365, 0.0006785977555681201, 0.0006788700928182854]",0.000674652476708
logcosh_loss,32,500,70,1,2,0.5,"[3.04200910e-03 2.62075446e+01 2.42068332e-01 2.24187367e+01
 4.89897215e-02 1.63925557e-02 5.00000000e-01 2.00543744e+00]","[3.04200910e-03 2.77971472e+01 3.02952330e-01 2.25422717e+01
 4.89897215e-02 1.58804057e-02 5.54028257e-01 2.03531405e+00]","[3.04200910e-03 2.79622034e+01 2.89088089e-01 2.25422717e+01
 5.70859499e-02 1.63925557e-02 7.93228300e+00 2.06185478e+00]","[3.04200910e-03 2.80937135e+01 2.89088089e-01 2.25422717e+01
 4.89897215e-02 1.58804057e-02 6.60419995e+00 2.17131328e+00]","[3.26118418e-03 2.62156906e+01 2.08528263e-01 2.30859485e+01
 4.89897215e-02 1.63925557e-02 5.98107385e-01 2.18284005e+00]","[0.0006602859991587456, 0.0006713606546788223, 0.0006823848962509955, 0.0006921199315228658, 0.0006940983560718011]",0.0006800499675366
logcosh_loss,32,500,70,1,2,0.5,"[2.18210575e-03 3.27353108e+01 2.61629709e-01 2.52369552e+01
 3.23504415e-01 2.88690751e-02 5.38415417e+01 1.56512853e+00]","[2.18210575e-03 3.61446614e+01 1.71579322e-01 2.99448834e+01
 3.33256278e-01 2.90868643e-02 5.20226035e+01 1.63423619e+00]","[2.18210575e-03 3.66591550e+01 6.48966546e-01 2.21422039e+01
 3.02518480e-01 2.90868643e-02 4.99856319e+01 1.65720927e+00]","[2.18210575e-03 3.61523920e+01 3.77520795e-01 2.48247164e+01
 3.41358500e-01 2.90868643e-02 5.63591271e+01 1.65229911e+00]","[2.18210575e-03 3.45439380e+01 6.83183076e-01 2.21422039e+01
 2.97279087e-01 2.98261878e-02 5.09340327e+01 1.62671526e+00]","[0.000699957101933319, 0.000705289129549208, 0.0007088559194504355, 0.0007122656430638961, 0.0007125498751507726]",0.0007077835338295
logcosh_loss,32,500,70,1,2,0.5,"[3.20625967e-03 2.62206731e+01 2.22767616e-01 2.33355386e+01
 6.47689598e-02 1.74012868e-02 2.12056508e+01 2.16191552e+00]","[3.20625967e-03 2.87488313e+01 2.15296269e-01 2.44102499e+01
 8.09804265e-02 1.97525590e-02 2.07979349e+01 2.21533766e+00]","[3.20625967e-03 2.97918073e+01 2.21856528e-01 2.42984112e+01
 8.30687019e-02 1.97467665e-02 1.80611132e+01 2.21533766e+00]","[3.20625967e-03 3.02313896e+01 4.66182199e-01 2.18926663e+01
 8.09804265e-02 1.97467665e-02 2.59668745e+01 2.42413773e+00]","[3.20625967e-03 2.89804818e+01 2.28473095e-01 2.27861974e+01
 8.86741663e-02 1.97525590e-02 2.21935490e+01 2.16781339e+00]","[0.0007012908224049699, 0.000708399009422002, 0.0007098032738899106, 0.0007132088919044081, 0.0007147495473864367]",0.0007094903090015
logcosh_loss,32,500,70,1,2,0.5,"[2.82980384e-03 2.99800024e+01 5.39381174e-01 2.15873507e+01
 9.53413168e-02 2.13455323e-02 2.63344734e+01 1.98453056e+00]","[2.82980384e-03 3.38175795e+01 6.66314320e-01 2.15873507e+01
 1.03737447e-01 2.13455323e-02 2.63832483e+01 2.11185157e+00]","[2.82980384e-03 3.38175795e+01 6.93716817e-01 2.15873507e+01
 1.03737447e-01 2.13455323e-02 2.63344734e+01 2.11185157e+00]","[2.82980384e-03 3.38175795e+01 6.93716817e-01 2.15873507e+01
 1.03737447e-01 2.13455323e-02 2.63832483e+01 2.11185157e+00]","[2.82980384e-03 3.33869952e+01 6.64667336e-01 2.15873507e+01
 1.03737447e-01 2.13455323e-02 2.98461746e+01 2.09891934e+00]","[0.0006942309522910506, 0.0007111881137652591, 0.0007225813302617567, 0.0007227604686660546, 0.0007281099035568229]",0.0007157741537081
logcosh_loss,32,500,70,1,2,0.5,"[2.72463612e-03 3.34621413e+01 2.21155496e-01 7.32544467e+01
 4.75064950e-01 2.18421804e-02 9.45966248e+01 2.00800531e+00]","[2.72463612e-03 3.45114448e+01 3.74089504e-01 8.09017432e+01
 4.65021056e-01 2.18421804e-02 9.43399681e+01 2.04111285e+00]","[2.72463612e-03 3.47786243e+01 3.73156669e-01 8.09017432e+01
 4.65021056e-01 2.18421804e-02 9.46779397e+01 2.04111285e+00]","[2.72463612e-03 3.34467274e+01 9.28391669e-01 7.22128392e+01
 4.57563931e-01 2.18421804e-02 9.59155743e+01 2.03489621e+00]","[2.72463612e-03 3.34467274e+01 9.28391669e-01 7.15176565e+01
 4.54396625e-01 2.18421804e-02 9.59155743e+01 2.05188101e+00]","[0.0007170662668268249, 0.0007197359542907248, 0.0007281239776427248, 0.0007283971757324969, 0.0007371207279934277]",0.0007260888204972
logcosh_loss,32,500,70,1,2,0.5,"[2.59396857e-03 3.52137009e+01 3.86981121e-01 9.24798489e+01
 1.13266173e-01 2.51179613e-02 2.19785373e+01 1.91043990e+00]","[2.59396857e-03 3.75748320e+01 2.42604009e-01 8.86017994e+01
 1.13266173e-01 2.54977118e-02 2.14790119e+01 1.99422565e+00]","[2.59396857e-03 3.73816229e+01 4.69561351e-01 8.70626613e+01
 1.12022255e-01 2.51179613e-02 1.89333285e+01 1.96778788e+00]","[2.59396857e-03 3.82675320e+01 4.51248968e-01 9.25007390e+01
 1.13266173e-01 2.38612928e-02 2.34032115e+01 1.99717075e+00]","[2.59396857e-03 3.64864680e+01 4.76066401e-01 9.47559729e+01
 1.10888027e-01 2.51179613e-02 2.32197637e+01 2.00110248e+00]","[0.0007199110786504143, 0.0007200876045176353, 0.000731027362919419, 0.0007350743719104309, 0.0007351425654124186]",0.000728248596682
